Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Afghanistan,AFG,0.1,0.104707034792812,0.104707034792812,0.104707,3.637257,3.637256622,3.6372566
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Albania,ALB,17.21,17.7360953122157,17.7360953122157,18.58981,18.58981,18.5915699,18.591568
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Algeria,DZA,7.5,7.49506002830462,7.49506002830462,7.495019,4.640436,4.640436172,4.6404362
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,American Samoa,ASM,4.27,15.8477447307274,15.8477447307274,15.84774,0.844952,15.84786701,15.847867
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Andorra,AND,21.19,26.7277247815139,26.7277247815139,26.72772,26.72772,26.85726547,26.8572655
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Angola,AGO,6.97,6.97142669594584,6.97142669594584,6.971426,6.971426,6.971426487,6.9714265
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Antigua and Barbuda,ATG,19.33,18.5696736890488,18.5696736890488,18.56967,21.00285,19.93744278,19.9374428
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Argentina,ARG,8.89,8.80825141581955,8.80825141581955,8.469773,8.476902,8.476902008,8.6914997
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Armenia,ARM,23.11,23.1105028060216,23.1105028060216,24.3054,24.3054,24.30540466,24.6810169
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Aruba,ABW,0.53,18.9175762600279,18.9175762600279,18.91758,18.91758,18.91757584,18.9175758
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Australia,AUS,16.98,19.2656223071572,19.2656223071572,19.26562,20.33876,20.36292076,20.3629208
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Austria,AUT,28.44,28.397981655605,28.397981655605,28.41688,29.09432,29.28332901,29.5004673
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Azerbaijan,AZE,10.15,10.1551256208372,10.1551256208372,10.15513,10.15513,10.15512562,10.1551256
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,"Bahamas, The",BHS,31.2,36.6336475275265,36.6336475275265,36.63365,36.63365,36.63364792,36.6336479
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bahrain,BHR,6.7,6.62174781265092,6.62174781265092,6.621748,6.621748,6.621747971,12.9564543
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bangladesh,BGD,4.61,4.60596281196676,4.60596281196676,4.605963,4.605963,4.605962753,4.6059628
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Barbados,BRB,1.35,1.27010819350234,1.27010819350234,1.270108,1.270108,1.270108223,1.2701082
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Belarus,BLR,9.51,9.35349335261769,9.35349335261769,9.353494,9.353494,13.84298706,13.8429871
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Belgium,BEL,23.21,23.293342934656,23.293342934656,24.91416,15.42513,15.49014282,15.5545855
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Belize,BLZ,37.68,37.6793655671877,37.6793655671877,37.67917,37.54658,37.54658127,37.5465813
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Benin,BEN,28.87,29.6233712049703,29.6233712049703,29.60411,29.60462,29.64332581,29.6433258
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bermuda,BMU,5.52,2.07991902345745,2.07991902345745,2.079919,2.079919,2.0799191,2.0799191
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bhutan,BTN,48.01,48.0078510451913,48.0078510451913,48.00785,49.66933,49.66933441,49.6693344
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bolivia,BOL,30.87,30.8654914952936,30.8654914952936,30.86557,30.86557,30.86556816,30.8655682
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bosnia and Herzegovina,BIH,1.45,1.39550157071326,1.39550157071326,1.395502,3.626755,3.971644878,4.0636635
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Botswana,BWA,29.14,29.1432374214093,29.1432374214093,29.14326,29.14326,29.14325714,29.1432571
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Brazil,BRA,28.94,29.4196676737717,29.4196676737717,29.41967,30.27737,30.3046875,30.3046875
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,British Virgin Islands,VGB,8.54,9.10881468166607,9.10881468166607,9.108814,9.108814,9.10881424,9.1088142
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Brunei Darussalam,BRN,46.87,46.87211976066,46.87211976066,46.87212,46.87212,46.8721199,46.8721199
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Bulgaria,BGR,34.69,34.7035801172141,34.7035801172141,40.58717,41.04409,41.04456329,41.044857
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Burkina Faso,BFA,15.08,14.9228805539331,14.9228805539331,14.89044,16.40168,16.42637444,16.4263744
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Burundi,BDI,7.59,7.5914717058788,7.5914717058788,7.591472,7.591472,7.591471672,7.5914717
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cabo Verde,CPV,2.6,2.89524038891919,2.89524038891919,2.89524,2.89524,2.895240307,2.8952403
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cambodia,KHM,26.03,26.027716099692,26.027716099692,26.02772,39.73864,39.73863602,39.738636
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cameroon,CMR,10.6,10.6005464149767,10.6005464149767,10.91132,10.94886,10.97888374,10.9788837
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Canada,CAN,9.69,9.68557393581083,9.68557393581083,10.65714,9.903981,11.91143608,12.7079391
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cayman Islands,CYM,10.72,10.7627698356687,10.7627698356687,10.76277,10.76277,10.7627697,10.7627697
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Central African Republic,CAF,18.06,18.0648242198926,18.0648242198926,18.06483,18.06482,18.06482315,18.0648232
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Chad,TCD,20.35,20.3544358034532,20.3544358034532,20.35443,20.97125,20.97125435,20.9712543
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Chile,CHL,18.4,18.4944542424793,18.4944542424793,20.41992,20.89808,20.89808083,21.0499763
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,China,CHN,17.08,15.449041955767,15.449041955767,15.61175,15.61605,15.61604595,15.616046
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Colombia,COL,14.16,14.8069558212089,14.8069558212089,14.80696,16.90938,16.90938568,16.4027538
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Comoros,COM,10.17,10.1514342727337,10.1514342727337,10.15143,33.75271,33.75271225,33.7527122
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,"Congo, Dem. Rep.",COD,12.7,13.8332604673993,13.8332604673993,13.83326,13.83326,13.83326054,13.853673
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,"Congo, Rep.",COG,40.59,40.7380367837893,40.7380367837893,40.73804,36.79332,36.79332352,36.7933235
