Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,21.177,22.078,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Albania,ALB,36.428,41.741,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Algeria,DZA,52.085,59.919,69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733,74.261,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,American Samoa,ASM,80.948,88.587,87.348,87.288,87.238,87.198,87.17,87.153,87.147,87.153,87.169,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Andorra,AND,94.712,92.395,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Angola,AGO,37.144,50.087,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,35.426,32.127,25.35,25.175,25,24.846,24.713,24.599,24.506,24.433,24.38,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,86.984,89.142,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Armenia,ARM,67.421,64.666,63.164,63.112,63.085,63.082,63.103,63.149,63.219,63.313,63.431,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Aruba,ABW,50.319,46.717,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Australia,AUS,85.433,84.235,85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241,86.362,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Austria,AUT,62.96,60.213,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748,58.995,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,53.749,51.386,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397,56.776,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,79.838,82.007,82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245,83.365,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bahrain,BHR,88.14,88.372,88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506,89.622,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,19.811,23.59,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Barbados,BRB,37.37,33.827,31.429,31.328,31.249,31.193,31.159,31.147,31.158,31.191,31.246,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belarus,BLR,65.981,69.973,76.199,76.693,77.181,77.661,78.134,78.595,79.044,79.483,79.91,..
