Data Source;World Development Indicators;
Country Name;Country Code;2019
Aruba;ABW;
Africa Eastern and Southern;AFE;1427211.167
Afghanistan;AFG;28636.5
Africa Western and Central;AFW;833825.127
Angola;AGO;79678.73
Albania;ALB;9008.165
Andorra;AND;627.58
Arab World;ARB;2881819.784
United Arab Emirates;ARE;243546.7
Argentina;ARG;369051.9
Armenia;ARM;9963.242
American Samoa;ASM;
Antigua and Barbuda;ATG;1217.041
Australia;AUS;585981.2
Austria;AUT;76917.89
Azerbaijan;AZE;54803.1
Burundi;BDI;4559.564
Belgium;BEL;108064.9
Benin;BEN;15016.64
Burkina Faso;BFA;32209.46
Bangladesh;BGD;215942.7
Bulgaria;BGR;51283.43
Bahrain;BHR;54408.02
Bahamas; The;3121.243
Bosnia and Herzegovina;BIH;26230.78
Belarus;BLR;86834.95
Belize;BLZ;1545.762
Bermuda;BMU;
Bolivia;BOL;60785.47
Brazil;BRA;1057259
Barbados;BRB;3793.393
Brunei Darussalam;BRN;9296.374
Bhutan;BTN;1675.716
Botswana;BWA;11003.76
Central African Republic;CAF;19725.46
Canada;CAN;736928.2
Central Europe and the Baltics;CEB;803134.63
Switzerland;CHE;46498.64
Channel Islands;CHI;
Chile;CHL;113018.9
China;CHN;12705090
Cote d'Ivoire;CIV;24857.53
Cameroon;CMR;90124.86
Congo; Dem. Rep.;53899.46
Congo; Rep.;18021.27
Colombia;COL;187338.9
Comoros;COM;642.765
Cabo Verde;CPV;808.743
Costa Rica;CRI;15745.71
Caribbean small states;CSS;62361.099
Cuba;CUB;41237.37
Curacao;CUW;
Cayman Islands;CYM;
Cyprus;CYP;8540.523
Czechia;CZE;116590.9
Germany;DEU;749708.7
Djibouti;DJI;1379.019
Dominica;DMA;234.591
Denmark;DNK;43200.04
Dominican Republic;DOM;41315.43
Algeria;DZA;282008.2
East Asia & Pacific (excluding high income);EAP;15499418.05
Early-demographic dividend;EAR;11592651.82
East Asia & Pacific;EAS;18110166.07
Europe & Central Asia (excluding high income);ECA;4199856.294
Europe & Central Asia;ECS;8065991.303
Ecuador;ECU;72528.4
Egypt; Arab Rep.;344822.8
Euro area;EMU;2588948.153
Eritrea;ERI;6332.812
Spain;ESP;306947
Estonia;EST;12873.96
Ethiopia;ETH;150963.1
European Union;EUU;3383431.693
Fragile and conflict affected situations;FCS;2353723.16
Finland;FIN;51478.64
Fiji;FJI;2380.337
France;FRA;414036
Faroe Islands;FRO;
Micronesia; Fed. Sts.;258.654
Gabon;GAB;13169.28
United Kingdom;GBR;440082.7
Georgia;GEO;17598.6
Ghana;GHA;37651.57
Gibraltar;GIB;
Guinea;GIN;28331
Gambia; The;2130.867
Guinea-Bissau;GNB;2579.344
Equatorial Guinea;GNQ;11406.76
Greece;GRC;78502.91
Grenada;GRD;2387.209
Greenland;GRL;
Guatemala;GTM;35095.24
Guam;GUM;
Guyana;GUY;5680.19
High income;HIC;14884807.39
Hong Kong SAR; China;
Honduras;HND;22388.7
Heavily indebted poor countries (HIPC);HPC;1242089.045
Croatia;HRV;22257.68
Haiti;HTI;10495.47
Hungary;HUN;60586.46
IBRD only;IBD;29032574.81
IDA & IBRD total;IBT;31959627.29
IDA total;IDA;2927052.478
IDA blend;IDB;1185646.429
Indonesia;IDN;1002369
IDA only;IDX;1741406.049
Isle of Man;IMN;
India;IND;3394872
Not classified;INX;
Ireland;IRL;61475.62
Iran; Islamic Rep.;925524.8
Iraq;IRQ;320817
Iceland;ISL;2851.035
