"","country","weighted_emissions","tot_mit","pop","tot_mit_reverse","netto","impact","mitigation","EAICC"
"1","Austria",61600,-5999.3,8951520,5999.3,55600.7,0.0989445910290237,0.233529086320774,0.58106207628569
"2","Belgium",88000,-163149,11552615,163149,-75149,0.142480211081794,0.639654840983141,0.737125893477698
"3","Bulgaria",42400,-4500,6877742.5,4500,37900,0.0672823218997362,0.229654409220116,0.602189763836564
"4","Croatia",19200,-2500,3878981,2500,16700,0.029023746701847,0.224485761050092,0.627494241968985
"5","Cyprus",6400,-117500,899939,117500,-111100,0.0079155672823219,0.52168303082644,0.780037275238956
"6","Czechia",95200,-6684.75,10500850,6684.75,88515.25,0.154353562005277,0.235300511264845,0.541775023893545
"7","Denmark",34400,400,5850189,-400,34800,0.054089709762533,0.216991221203558,0.605889946959701
"8","Estonia",9600,-388.919,1330932,388.919,9211.081,0.0131926121372032,0.219030043576382,0.636433071547804
"9","Finland",37600,84364.4,5541020,-84364.4,121964.4,0.0593667546174142,0,0.501849868953777
"10","France",331200,-19428.1,67719897,19428.1,311771.9,0.54353562005277,0.268233457593579,0.275294221165123
"11","Germany",608000,-65587.6,83196074,65587.6,542412.4,1,0.387524565195678,0
"12","Greece",61600,-16886.9,10656962,16886.9,44713.1,0.0989445910290237,0.261666173228748,0.59405759685713
"13","Hungary",51200,-3500,9709893,3500,47700,0.0817941952506596,0.227070085135104,0.590492410737615
"14","Iceland",3200,1796.04,372523,-1796.04,4996.04,0.00263852242744063,0.213383401407919,0.641464175925717
"15","Ireland",49600,-4376.04,5011460,4376.04,45223.96,0.079155672823219,0.229334056406538,0.593447830550587
"16","Italy",333600,-13500,59109666,13500,320100,0.547493403693931,0.252913325985221,0.265353738885189
"17","Latvia",8000,-125.433,1884488,125.433,7874.567,0.0105540897097625,0.218349110360518,0.638028344627364
"18","Lithuania",16000,-4455.197,2795321,4455.197,11544.803,0.0237467018469657,0.229538623748135,0.633647523561194
"19","Luxembourg",7200,-302583.973,640064,302583.973,-295383.973,0.00923482849604222,1,1
"20","Malta",1600,-131.643739342,516748,131.643739342,1468.356260658,0,0.218365160923786,0.645674845550259
"21","Netherlands",133600,800,17533406,-800,134400,0.217678100263852,0.215957491569554,0.487006644035686
"22","Norway",39200,-15513.95,5408320,15513.95,23686.05,0.0620052770448549,0.258118025476231,0.619155640579504
"23","Poland",319200,-39750.7,38162224,39750.7,279449.3,0.523746701846966,0.320753642243639,0.313874717621868
"24","Portugal",44800,-3000,10297876,3000,41800,0.0712401055408971,0.225777923092598,0.597534694746166
"25","Romania",92000,-24500,19124061,24500,67500,0.149076517150396,0.28134089092035,0.566858983047901
"26","Slovakia",32800,-3875.705,5441991,3875.705,28924.295,0.0514511873350923,0.228041028615463,0.612903232275034
"27","Slovenia",12800,-2251,2107007,2251,10549,0.0184696569920844,0.223842264352924,0.634836121449764
"28","Spain",230400,-29229.062,47331545,29229.062,201170.938,0.377308707124011,0.293562319746464,0.407308354389355
"29","Sweden",37600,-20740,10415812,20740,16860,0.0593667546174142,0.271623832360706,0.627303264775533
"30","Switzerland",36000,-500,8704542,500,35500,0.0567282321899736,0.219317112880069,0.605054421738348
