"","country","weighted_projected_emissions","tot_mit","pop","tot_mit_reverse","netto","impact","mitigation","enfcc","Unit","emissions_1990","score","score_net_null"
"1","Austria",61258.302505455,-4160.68002216252,8951520,4160.68002216252,57097.6224832924,0.09103156357715,0.337555845247574,0.915590982424351,"Tonnes of CO2 equivalent",79047232,26622.1322001259,-40374.1160475656
"2","Belgium",97446.1077586347,-129.747336792951,11552615,129.747336792951,97316.3604218418,0.146818385458414,0.165753680067823,0.853742574664321,"Tonnes of CO2 equivalent",145844474,-1816.81012698697,-68813.0583746785
"3","Bulgaria",47515.3557681621,-3657.63520970732,6877742.5,3657.63520970732,43857.7205584548,0.0698455503223204,0.316115599352145,0.935951314322416,"Tonnes of CO2 equivalent",98910338,35984.1566334234,-31012.091614268
"4","Croatia",18716.6832492464,-2320.94634392752,3878981,2320.94634392752,16395.7369053188,0.0254497544737049,0.259144655097446,0.978182375015409,"Tonnes of CO2 equivalent",31454182,55402.71149939,-11593.5367483015
"5","Cyprus",6932.2722652292,-94.1305063461081,899939,94.1305063461081,6838.14175888309,0.00728300377021438,0.164235657052996,0.992880052568724,"Tonnes of CO2 equivalent",5571728,62160.9518392703,-4835.29640842114
"6","Denmark",35168.4452104404,968.024193329149,5850189,-968.024193329149,36136.4694037695,0.0508116549189232,0.118965618726041,0.947825060598648,"Tonnes of CO2 equivalent",71820935,41443.9056841459,-25552.3425635456
"7","Estonia",9986.94757013708,1153.02973472099,1330932,-1153.02973472099,11139.9773048581,0.0119920660067262,0.111080507496887,0.986264686383674,"Tonnes of CO2 equivalent",40276363,59119.0947531621,-7877.15349452938
"8","Finland",42174.6613067198,194.642804000001,5541020,-194.642804000001,42369.3041107198,0.0616123798230798,0.151927865324384,0.938240202340656,"Tonnes of CO2 equivalent",71087754,37036.6259968465,-29959.622250845
"9","France",323227.07192228,-6822.0515250464,67719897,6822.0515250464,316405.020397234,0.494880456198963,0.450986016930339,0.516827855996113,"Tonnes of CO2 equivalent",540830692,-156735.88727666,-223732.135524352
"10","Germany",650888.104837041,1599.36056507409,83196074,-1599.36056507409,652487.465402115,1,0.0920574651822749,0,"Tonnes of CO2 equivalent",1251224782,-394382.063177367,-461378.311425058
"11","Greece",62664.7525139418,-2190.49211256669,10656962,2190.49211256669,60474.2604013751,0.0931997353012825,0.253584572319086,0.910398385900446,"Tonnes of CO2 equivalent",103985687,24234.4886306381,-42761.7596170534
"12","Hungary",50138.9614550219,-2878.95337959548,9709893,2878.95337959548,47260.0080754265,0.0738900791937324,0.282927442952287,0.930719273824576,"Tonnes of CO2 equivalent",94985023,33578.3760586264,-33417.8721890651
"13","Iceland",4041.16504201442,3759.27190814276,372523,-3759.27190814276,7800.43695015718,0.00282609673833661,0,0.991400234244579,"Tonnes of CO2 equivalent",3682045,61480.5063840172,-5515.74186367425
