"","country","score","score_per_capita","classification","color","classification_per_capita","color_per_capita"
"1","Austria",5.8,-0.8,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"2","Belgium",-0.4,-11.8,"Slightly Insufficient","#fee090","Slightly Insufficient","#fee090"
"3","Bulgaria",7.8,-0.8,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"4","Croatia",12,10.8,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"5","Cyprus",13.5,-7.3,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"6","Denmark",9,0.3,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"7","Estonia",12.9,-11.5,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"8","Finland",8.1,-7.6,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"9","France",-34.1,8.4,"Insufficient","#fdae61","Sufficient","#e0f3f8"
"10","Germany",-85.8,-8.7,"Atrocious","#d73027","Slightly Insufficient","#fee090"
"11","Greece",5.3,3,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"12","Hungary",7.3,7.3,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"13","Iceland",13.4,-78.9,"Sufficient","#e0f3f8","Atrocious","#d73027"
"14","Ireland",6.5,-22.6,"Sufficient","#e0f3f8","Slightly Insufficient","#fee090"
"15","Italy",-30.9,6.6,"Insufficient","#fdae61","Sufficient","#e0f3f8"
"16","Latvia",13,5,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"17","Lithuania",12.4,6.9,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"18","Luxembourg",13.3,-37.1,"Sufficient","#e0f3f8","Insufficient","#fdae61"
"19","Malta",14.2,10.5,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"20","Netherlands",-7,-9.5,"Slightly Insufficient","#fee090","Slightly Insufficient","#fee090"
"21","Poland",-31.1,-8.4,"Insufficient","#fdae61","Slightly Insufficient","#fee090"
"22","Portugal",7,7.8,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"23","Romania",4.8,15.6,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"24","Slovenia",12.7,2.7,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"25","Spain",-21.9,6.5,"Slightly Insufficient","#fee090","Sufficient","#e0f3f8"
"26","Sweden",10.9,21.1,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
"27","Switzerland",9.2,12,"Sufficient","#e0f3f8","Sufficient","#e0f3f8"
